央视频道,#genre#

CCTV1,http://192.168.13.1:8205/rtp/238.1.78.166:7200$内网
CCTV2,http://192.168.13.1:8205/rtp/238.1.78.235:7752$内网
CCTV3,http://192.168.13.1:8205/rtp/238.1.78.170:7232$内网
CCTV4,http://192.168.13.1:8205/rtp/238.1.78.236:7760$内网
CCTV5,http://192.168.13.1:8205/rtp/238.1.78.171:7240$内网
CCTV5+,http://192.168.13.1:8205/rtp/238.1.78.237:7768$内网
CCTV6,http://192.168.13.1:8205/rtp/238.1.78.172:7248$内网
CCTV7,http://192.168.13.1:8205/rtp/238.1.78.239:7784$内网
CCTV8,http://192.168.13.1:8205/rtp/238.1.78.173:7256$内网
CCTV9,http://192.168.13.1:8205/rtp/238.1.78.240:7792$内网
CCTV10,http://192.168.13.1:8205/rtp/238.1.78.241:7800$内网
CCTV11,http://192.168.13.1:8205/rtp/238.1.78.206:7502$内网
CCTV12,http://192.168.13.1:8205/rtp/238.1.78.242:7808$内网
CCTV13,http://192.168.13.1:8205/rtp/238.1.79.35:4392$内网
CCTV14,http://192.168.13.1:8205/rtp/238.1.78.243:7816$内网
CCTV15,http://192.168.13.1:8205/rtp/238.1.78.222:7648$内网
CCTV17,http://192.168.13.1:8205/rtp/238.1.78.178:7296$内网
电视指南,http://192.168.13.1:8205/rtp/238.1.79.53:4560$内网
文化精品,http://192.168.13.1:8205/rtp/238.1.79.54:4568$内网
女性时尚,http://192.168.13.1:8205/rtp/238.1.79.55:4576$内网
兵器科技,http://192.168.13.1:8205/rtp/238.1.79.56:4584$内网
风云足球,http://192.168.13.1:8205/rtp/238.1.79.57:4592$内网
世界地理,http://192.168.13.1:8205/rtp/238.1.79.60:4616$内网
怀旧剧场,http://192.168.13.1:8205/rtp/238.1.79.61:4624$内网
风云剧场,http://192.168.13.1:8205/rtp/238.1.79.62:4632$内网
第一剧场,http://192.168.13.1:8205/rtp/238.1.79.63:4640$内网
风云音乐,http://192.168.13.1:8205/rtp/238.1.79.64:4648$内网
高尔夫网球,http://192.168.13.1:8205/rtp/238.1.79.58:4600$内网
央视台球,http://192.168.13.1:8205/rtp/238.1.79.59:4608$内网
CGTN,http://192.168.13.1:8205/rtp/238.1.78.50:6272$内网
CETV1,http://192.168.13.1:8205/rtp/238.1.78.158:7136$内网
CETV2,http://192.168.13.1:8205/rtp/238.1.78.106:6720$内网
CETV4,http://192.168.13.1:8205/rtp/238.1.78.107:6728$内网
CETV4,http://192.168.13.1:8205/rtp/238.1.78.253:7896$内网

央视网5,http://192.168.13.1:8205/rtp/238.1.78.238:7776$内网
央视网3,http://192.168.13.1:8205/rtp/238.1.78.247:7848$内网
央视网法治,http://192.168.13.1:8205/rtp/238.1.78.5:7944$内网
央视网经典电影,http://192.168.13.1:8205/rtp/238.1.78.10:7984$内网
央视网收视指南,http://192.168.13.1:8205/rtp/238.1.78.8:7968$内网
央视网相声小品,http://192.168.13.1:8205/rtp/238.1.78.3:7928$内网
央视网野外,http://192.168.13.1:8205/rtp/238.1.78.4:7936$内网
央视网爱生活,http://192.168.13.1:8205/rtp/238.1.78.17:4040$内网
央视网地理,http://192.168.13.1:8205/rtp/238.1.79.4:4144$内网
央视网国学,http://192.168.13.1:8205/rtp/238.1.78.34:4064$内网
央视网好学生,http://192.168.13.1:8205/rtp/238.1.78.18:4048$内网
央视网鉴赏,http://192.168.13.1:8205/rtp/238.1.78.38:4096$内网
央视网解密,http://192.168.13.1:8205/rtp/238.1.79.6:4160$内网
央视网精选,http://192.168.13.1:8205/rtp/238.1.78.19:4056$内网
央视网军事,http://192.168.13.1:8205/rtp/238.1.79.3:4136$内网
央视网美妆,http://192.168.13.1:8205/rtp/238.1.79.5:4152$内网
央视网墨宝,http://192.168.13.1:8205/rtp/238.1.78.39:4104$内网
央视网台球,http://192.168.13.1:8205/rtp/238.1.78.251:7880$内网
央视网武术,http://192.168.13.1:8205/rtp/238.1.79.2:4128$内网
央视网戏曲,http://192.168.13.1:8205/rtp/238.1.78.35:4072$内网
央视网音乐现场,http://192.168.13.1:8205/rtp/238.1.78.15:4024$内网
央视网早教,http://192.168.13.1:8205/rtp/238.1.78.36:4080$内网
央视网足球频道,http://192.168.13.1:8205/rtp/238.1.78.250:7872$内网

CCTV1,http://114.243.103.123:8686/udp/239.3.1.129:8008$北京联通
CCTV2,http://114.243.103.123:8686/udp/239.3.1.60:8084$北京联通
CCTV3,http://114.243.103.123:8686/udp/239.3.1.172:8001$北京联通
CCTV4,http://114.243.103.123:8686/udp/239.3.1.105:8092$北京联通
CCTV5,http://114.243.103.123:8686/udp/239.3.1.173:8001$北京联通
CCTV5+,http://114.243.103.123:8686/udp/239.3.1.130:8004$北京联通
CCTV6,http://114.243.103.123:8686/udp/239.3.1.174:8001$北京联通
CCTV7,http://114.243.103.123:8686/udp/239.3.1.61:8104$北京联通
CCTV8,http://114.243.103.123:8686/udp/239.3.1.175:8001$北京联通
CCTV9,http://114.243.103.123:8686/udp/239.3.1.62:8112$北京联通
CCTV10,http://114.243.103.123:8686/udp/239.3.1.63:8116$北京联通
CCTV11,http://114.243.103.123:8686/udp/239.3.1.152:8120$北京联通
CCTV12,http://114.243.103.123:8686/udp/239.3.1.64:8124$北京联通
CCTV13,http://114.243.103.123:8686/udp/239.3.1.124:8128$北京联通
CCTV14,http://114.243.103.123:8686/udp/239.3.1.65:8132$北京联通
CCTV15,http://114.243.103.123:8686/udp/239.3.1.153:8136$北京联通
CCTV16,http://114.243.103.123:8686/udp/239.3.1.183:8001$北京联通
CCTV16,http://114.243.103.123:8686/udp/239.3.1.184:8001$北京联通
CCTV17,http://114.243.103.123:8686/udp/239.3.1.151:8144$北京联通

CCTV1,http://114.249.111.176:4022/udp/239.3.1.129:8008$北京联通2
CCTV2,http://114.249.111.176:4022/udp/239.3.1.60:8084$北京联通2
CCTV3,http://114.249.111.176:4022/udp/239.3.1.172:8001$北京联通2
CCTV4,http://114.249.111.176:4022/udp/239.3.1.105:8092$北京联通2
CCTV5,http://114.249.111.176:4022/udp/239.3.1.173:8001$北京联通2
CCTV5+,http://114.249.111.176:4022/udp/239.3.1.130:8004$北京联通2
CCTV6,http://114.249.111.176:4022/udp/239.3.1.174:8001$北京联通2
CCTV7,http://114.249.111.176:4022/udp/239.3.1.61:8104$北京联通2
CCTV8,http://114.249.111.176:4022/udp/239.3.1.175:8001$北京联通2
CCTV9,http://114.249.111.176:4022/udp/239.3.1.62:8112$北京联通2
CCTV10,http://114.249.111.176:4022/udp/239.3.1.63:8116$北京联通2
CCTV11,http://114.249.111.176:4022/udp/239.3.1.152:8120$北京联通2
CCTV12,http://114.249.111.176:4022/udp/239.3.1.64:8124$北京联通2
CCTV13,http://114.249.111.176:4022/udp/239.3.1.124:8128$北京联通2
CCTV14,http://114.249.111.176:4022/udp/239.3.1.65:8132$北京联通2
CCTV15,http://114.249.111.176:4022/udp/239.3.1.153:8136$北京联通2
CCTV16,http://114.249.111.176:4022/udp/239.3.1.183:8001$北京联通2
CCTV16,http://114.249.111.176:4022/udp/239.3.1.184:8001$北京联通2
CCTV17,http://114.249.111.176:4022/udp/239.3.1.151:8144$北京联通2

CCTV1,http://171.213.152.105:9100/udp/239.93.0.58:5140$四川电信 
CCTV2,http://171.213.152.105:9100/udp/239.93.1.23:6000$四川电信 
CCTV3,http://171.213.152.105:9100/udp/239.93.0.109:5140$四川电信 
CCTV4,http://171.213.152.105:9100/udp/239.93.1.105:5140$四川电信 
CCTV5,http://171.213.152.105:9100/udp/239.93.42.37:5140$四川电信 
CCTV5+,http://171.213.152.105:9100/udp/239.93.1.36:8004$四川电信 
CCTV6,http://171.213.152.105:9100/udp/239.93.42.38:5140$四川电信 
CCTV7,http://171.213.152.105:9100/udp/239.93.1.67:5140$四川电信 
CCTV8,http://171.213.152.105:9100/udp/239.93.42.39:5140$四川电信 
CCTV9,http://171.213.152.105:9100/udp/239.93.1.24:5140$四川电信 
CCTV10,http://171.213.152.105:9100/udp/239.93.1.28:5140$四川电信 
CCTV11,http://171.213.152.105:9100/udp/239.93.0.102:5140$四川电信 
CCTV12,http://171.213.152.105:9100/udp/239.93.1.30:8124$四川电信 
CCTV13,http://171.213.152.105:9100/udp/239.93.0.66:5140$四川电信 
CCTV14,http://171.213.152.105:9100/udp/239.93.1.29:6000$四川电信 
CCTV15,http://171.213.152.105:9100/udp/239.93.0.103:5140$四川电信 
CCTV17,http://171.213.152.105:9100/udp/239.93.0.92:5140$四川电信 

CCTV1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv$tsfile
CCTV2,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv$tsfile
CCTV3,http://61.184.46.85:9901/tsfile/live/0003_1.m3u8?key=txiptv$tsfile
CCTV4,http://61.184.46.85:9901/tsfile/live/0004_1.m3u8?key=txiptv$tsfile
CCTV5,http://61.184.46.85:9901/tsfile/live/0005_1.m3u8?key=txiptv$tsfile
CCTV5+,http://61.184.46.85:9901/tsfile/live/0015_1.m3u8?key=txiptv$tsfile
CCTV6,http://61.184.46.85:9901/tsfile/live/0006_1.m3u8?key=txiptv$tsfile
CCTV7,http://61.184.46.85:9901/tsfile/live/0007_1.m3u8?key=txiptv$tsfile
CCTV8,http://61.184.46.85:9901/tsfile/live/0008_1.m3u8?key=txiptv$tsfile
CCTV9,http://61.184.46.85:9901/tsfile/live/0009_1.m3u8?key=txiptv$tsfile
CCTV10,http://61.184.46.85:9901/tsfile/live/0010_1.m3u8?key=txiptv$tsfile
CCTV11,http://61.184.46.85:9901/tsfile/live/0011_1.m3u8?key=txiptv$tsfile
CCTV12,http://61.184.46.85:9901/tsfile/live/0012_1.m3u8?key=txiptv$tsfile
