1.195.131.251,#genre#
CCTV-1,http://1.195.131.251:9909/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://1.195.131.251:9909/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://1.195.131.251:9909/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://1.195.131.251:9909/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://1.195.131.251:9909/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://1.195.131.251:9909/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://1.195.131.251:9909/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://1.195.131.251:9909/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://1.195.131.251:9909/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://1.195.131.251:9909/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://1.195.131.251:9909/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://1.195.131.251:9909/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://1.195.131.251:9909/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://1.195.131.251:9909/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://1.195.131.251:9909/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://1.195.131.251:9909/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市频道,http://1.195.131.251:9909/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生频道,http://1.195.131.251:9909/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
河南法制频道,http://1.195.131.251:9909/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧频道,http://1.195.131.251:9909/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
河南新闻频道,http://1.195.131.251:9909/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
河南公共频道,http://1.195.131.251:9909/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
